,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.1591179370880127,0.0063358691315435235,0.0073430538177490234,0.0015303475763911599,50,50,1,30,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 30}",-1474.7839858920595,-2076.4981898758147,-3663.289967518147,-3777.5851136584874,-1907.5166737957952,-2579.934786148061,952.3631210393747,3377
11,0.1622401714324951,0.0028122983340425852,0.016054105758666993,0.008242679739015029,50,50,1,31,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 31}",-1461.7233023002314,-2089.094106209698,-3617.854277863381,-3706.2489009038704,-1979.2259968776739,-2570.829316830971,916.2552432288225,3349
12,0.2228003978729248,0.020891755860404728,0.011862516403198242,0.004471301251895784,50,50,1,32,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 32}",-1461.584344518608,-2088.7379016158857,-3661.7458567350914,-3735.076183797213,-1981.2389966015867,-2585.676656653677,933.2653142285491,3397
13,0.2076385498046875,0.01503693257092504,0.015961217880249023,0.0030413276024041707,50,50,1,33,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 33}",-1503.7498825914086,-2119.877936805516,-3605.3099810638755,-3709.3021353505983,-1957.8799543955142,-2579.2239780413825,903.7301409745619,3373
14,0.20439486503601073,0.01477160606221785,0.009369611740112305,0.002918497776495561,50,50,1,34,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 34}",-1531.0869943535522,-2138.629261733701,-3623.667816303913,-3774.123905214515,-1917.5970480119217,-2597.0210051235204,921.6865119476134,3435
15,0.1940769672393799,0.0075027799448599535,0.011265707015991212,0.002797467438287199,50,50,1,35,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 35}",-1522.2114770610808,-2058.593728754412,-3620.145536374217,-3747.6097685400296,-1853.8716501963634,-2560.4864321852206,933.9544797396799,3295
16,0.19063892364501953,0.004908017849981148,0.012658071517944337,0.0038494311082820183,50,50,1,36,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 36}",-1507.5778515584984,-2088.3434286153715,-3732.1785886685757,-3825.327211321356,-1831.550952001516,-2596.9956064330636,982.741322664007,3434
17,0.20214853286743165,0.006139551820685295,0.010096549987792969,0.0031397192975154507,50,50,1,37,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 37}",-1486.288447106165,-2092.720467194319,-3636.8667809046374,-3818.098899089623,-1742.5790418007575,-2555.3107272191005,977.9293063213233,3268
18,0.22226572036743164,0.015900999376911595,0.016154909133911134,0.005875623912168837,50,50,1,38,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 38}",-1531.743707786411,-2037.3557780485257,-3626.7828470680593,-3784.696319408101,-1748.440616706146,-2545.803853803449,961.8727236557459,3225
19,0.2626632213592529,0.014123979949712628,0.011267662048339844,0.0027685044635281956,50,50,1,39,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 39}",-1481.76914558423,-2049.125804446627,-3575.4741026392053,-3822.3099128563945,-1760.308964289269,-2537.797585963145,968.0112814398049,3192
