,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,0.19164443016052246,0.005790756493427455,0.011981391906738281,0.0031828911906308837,50,22,"{'max_samples': 50, 'n_estimators': 22}",-1271.2198220544,-1734.7017577933234,-2997.295523015552,-3457.3055965429353,-2217.022951476953,-2335.5091301766324,800.5134285363314,699
22,0.20902538299560547,0.008012889557791846,0.012421989440917968,0.004686027609697799,50,23,"{'max_samples': 50, 'n_estimators': 23}",-1388.1056742211076,-1619.7599399618798,-2946.830788131111,-3324.938052878194,-2103.4187880563723,-2276.610648649733,748.2078248036115,542
23,0.22012743949890137,0.008202978768856516,0.01097726821899414,0.0010933266197229786,50,24,"{'max_samples': 50, 'n_estimators': 24}",-1378.3187034824052,-1537.4950623756283,-2927.994111747412,-3325.64724195516,-2068.567409745744,-2247.60450586127,763.8159027374509,484
24,0.21377096176147461,0.001373262724651222,0.014381074905395507,0.00379025788846312,50,25,"{'max_samples': 50, 'n_estimators': 25}",-1390.0068388692578,-1556.9369726261118,-3013.109759570746,-3378.5797428535525,-2042.3052810299064,-2276.187718989915,789.3872878878162,540
25,0.2372134208679199,0.00990354031678684,0.013948440551757812,0.0035951673114869693,50,26,"{'max_samples': 50, 'n_estimators': 26}",-1389.1348700555368,-1520.9265622166208,-3000.118872922381,-3397.5143165516515,-2057.6978064999284,-2273.0784856492237,798.3008619520025,535
26,0.24092364311218262,0.011238856857115603,0.012615966796875,0.004539595033222036,50,27,"{'max_samples': 50, 'n_estimators': 27}",-1493.8860304074997,-1594.1250762079421,-3062.3015458755212,-3388.748495821829,-2083.2863181481885,-2324.469493292196,769.2239093269282,656
27,0.24185419082641602,0.005797659026585375,0.011658763885498047,0.005427586968105195,50,28,"{'max_samples': 50, 'n_estimators': 28}",-1505.1534449240612,-1623.9100924913223,-3206.807464290606,-3452.0350175388994,-2036.1853630733735,-2364.818276463652,810.7964215409842,746
28,0.24956073760986328,0.009012067587347154,0.01170210838317871,0.00363177243890898,50,29,"{'max_samples': 50, 'n_estimators': 29}",-1449.8133084011229,-1674.8570007205694,-3162.281838783202,-3377.5760463917104,-2032.2690028859802,-2339.359439436517,785.1439797673213,718
29,0.26276354789733886,0.009182370082417839,0.016970491409301756,0.006108865780189829,50,30,"{'max_samples': 50, 'n_estimators': 30}",-1408.9026924209732,-1750.997325328833,-3136.7095375520444,-3407.2458102237324,-1982.2090186527846,-2337.2128768356733,789.3797058036066,707
30,0.2656660556793213,0.0061509528543190264,0.01422429084777832,0.005493976976590892,50,31,"{'max_samples': 50, 'n_estimators': 31}",-1410.2342553323074,-1735.9353852367979,-3112.333266558974,-3466.2753565913395,-1929.2596159861132,-2330.8075759411067,807.7918558669146,678
31,0.28774089813232423,0.02176078095836481,0.018431758880615233,0.0031084665531156434,50,32,"{'max_samples': 50, 'n_estimators': 32}",-1403.00084992066,-1745.2146979366723,-3123.2530946651414,-3491.316244785093,-1956.6710579780326,-2343.89118905712,814.5694371431853,727
32,0.31698012351989746,0.029228043087423123,0.020571184158325196,0.005793360938654209,50,33,"{'max_samples': 50, 'n_estimators': 33}",-1429.9363359437384,-1752.1430320382292,-3097.9396686746477,-3433.6895937919085,-2006.849906448974,-2344.1117073794994,781.7065447444128,728
33,0.33977313041687013,0.028642095057570413,0.01430206298828125,0.0026640558291916023,50,34,"{'max_samples': 50, 'n_estimators': 34}",-1376.2048377752074,-1734.497396246404,-3182.5562886436664,-3401.660913903653,-1999.22227044468,-2338.828341402722,806.0622941889249,715
34,0.32082133293151854,0.017040642716825836,0.01578350067138672,0.0039805493661684045,50,35,"{'max_samples': 50, 'n_estimators': 35}",-1367.537397836822,-1741.6901441708367,-3216.444072023277,-3413.2509569125746,-1974.522545655709,-2342.6890233198437,819.4165777537946,724
35,0.3188356876373291,0.022936864685690096,0.012831735610961913,0.0024618942949944465,50,36,"{'max_samples': 50, 'n_estimators': 36}",-1337.0919866130082,-1761.1003626115948,-3238.385184437434,-3432.4025429356525,-2011.9968225142497,-2356.195379822388,830.3810163673088,736
36,0.3237136363983154,0.01445670697729986,0.016274261474609374,0.0041190815823219625,50,37,"{'max_samples': 50, 'n_estimators': 37}",-1368.644946051365,-1743.1897197649591,-3217.5210401121303,-3443.055768911158,-2033.194583230876,-2361.1212116140973,821.9960331354505,740
37,0.31484255790710447,0.005931853923383624,0.017374515533447266,0.0015143045869681832,50,38,"{'max_samples': 50, 'n_estimators': 38}",-1369.1129099784014,-1742.93096963956,-3220.599341052383,-3449.1760570617525,-2046.5740074020455,-2365.6786570268287,823.1211016133285,747
38,0.32543330192565917,0.005054366565860747,0.019002485275268554,0.0026725647680966432,50,39,"{'max_samples': 50, 'n_estimators': 39}",-1383.559096819145,-1737.3350841967363,-3188.594107098584,-3478.98497384952,-2024.232615869103,-2362.5411755666178,823.7173604066195,743
39,0.342205810546875,0.005012558138232651,0.01638140678405762,0.003485630199431572,50,40,"{'max_samples': 50, 'n_estimators': 40}",-1365.6116898192831,-1707.1068366214015,-3183.2146335397274,-3503.2663501036523,-2046.8577215032444,-2361.2114463174617,836.4052394545467,741
40,0.3516639232635498,0.015868524071460548,0.01857104301452637,0.0054629256817125575,50,41,"{'max_samples': 50, 'n_estimators': 41}",-1336.8282003521697,-1695.8359360537943,-3138.436563156799,-3483.6767560054386,-2067.6303952066364,-2344.481570154968,829.5641322720197,729
41,0.3649946689605713,0.016146597374752453,0.01761617660522461,0.006492677701180905,50,42,"{'max_samples': 50, 'n_estimators': 42}",-1318.4131994160025,-1693.3003846233546,-3132.9740109658446,-3458.027246169375,-2031.0888972174907,-2326.7607476784133,828.879046581854,666
42,0.38303914070129397,0.01793368934509082,0.016659355163574217,0.004339632532223559,50,43,"{'max_samples': 50, 'n_estimators': 43}",-1315.4542876429578,-1669.3529466131513,-3107.378378383975,-3468.2903980161564,-2024.9444216300592,-2317.0840864572597,831.6254573769207,624
43,0.37921900749206544,0.01940753977788131,0.017587041854858397,0.00556594705635243,50,44,"{'max_samples': 50, 'n_estimators': 44}",-1321.8232314975253,-1680.9663094253806,-3065.477915217974,-3421.1188471268847,-2014.2228504627624,-2300.7218307461053,808.0299972864184,576
44,0.38170766830444336,0.007501244444007858,0.016955804824829102,0.006046269299800792,50,45,"{'max_samples': 50, 'n_estimators': 45}",-1304.336840693969,-1684.977711247744,-3096.81618821455,-3435.2238642963043,-2000.7487791849205,-2304.4206767274973,822.5205630956103,589
45,0.4141284942626953,0.027793784674744276,0.02978978157043457,0.01597373491997274,50,46,"{'max_samples': 50, 'n_estimators': 46}",-1352.4107596706895,-1659.4502429118288,-3094.8495676902894,-3410.3792472727423,-2005.3561816256147,-2304.4891998342327,807.4244835098199,590
46,0.5499203681945801,0.18424284472375818,0.028450536727905273,0.008673885561092814,50,47,"{'max_samples': 50, 'n_estimators': 47}",-1391.6033186518898,-1629.3007786933815,-3100.706343399716,-3480.751915999653,-2007.7458740132302,-2322.0216461515743,823.8101020627417,643
47,0.7315976619720459,0.23888848567130244,0.04166102409362793,0.012750183559129026,50,48,"{'max_samples': 50, 'n_estimators': 48}",-1383.1645866818517,-1626.2310541597394,-3100.841307936297,-3446.508339785739,-2024.337977060372,-2316.2166531247994,815.4820160968167,618
48,0.8204520225524903,0.09143687384519548,0.0366732120513916,0.005610545703876893,50,49,"{'max_samples': 50, 'n_estimators': 49}",-1405.6374405811791,-1628.2635958890187,-3055.2866367889387,-3457.1251267230627,-2037.4238004619187,-2316.7473200888235,803.4991653781627,623
49,0.7611638069152832,0.0650080013924033,0.03345465660095215,0.007066358686690482,50,50,"{'max_samples': 50, 'n_estimators': 50}",-1400.4236489307823,-1616.9913030655134,-3039.3329552231744,-3461.998159849142,-2063.1118197398237,-2316.3715773616873,803.4136295686559,620
50,0.8502779006958008,0.1039069187219874,0.04301738739013672,0.010762410713509257,50,51,"{'max_samples': 50, 'n_estimators': 51}",-1429.3283216860398,-1638.7313941187488,-3141.624591438879,-3431.7068560144335,-2126.2303565611646,-2353.524303963853,800.0386659173043,734
51,0.8063032150268554,0.0944497049417725,0.03467888832092285,0.008227635186864235,50,52,"{'max_samples': 50, 'n_estimators': 52}",-1396.8926103988135,-1610.162157805567,-3061.4229452342533,-3435.330153526355,-2114.2519617284975,-2323.6119657386976,798.9910354694358,650
52,0.7221565246582031,0.025031894003070383,0.03620166778564453,0.005428477387126967,50,53,"{'max_samples': 50, 'n_estimators': 53}",-1420.0022686380728,-1548.972475273826,-3063.1496502166283,-3440.6959594948503,-2093.327628278145,-2313.2295963803044,807.9432367268519,610
53,0.7798615455627441,0.1070244096724874,0.03308649063110351,0.004659913200107551,50,54,"{'max_samples': 50, 'n_estimators': 54}",-1407.261917737344,-1545.8034425854528,-3009.4085317157405,-3463.6553575207954,-2112.363667986226,-2307.698583509112,807.2247566628815,597
54,0.7329854965209961,0.031573321446115424,0.03953704833984375,0.011327242273727106,50,55,"{'max_samples': 50, 'n_estimators': 55}",-1402.6005213130916,-1560.0558306447174,-2999.7965398934807,-3423.8739994450953,-2135.031095291536,-2304.2715973175846,791.5522305935987,588
55,0.7400240898132324,0.033021349978449244,0.038417387008666995,0.009991669164874071,50,56,"{'max_samples': 50, 'n_estimators': 56}",-1378.58709397619,-1596.2336745495056,-2980.543981278051,-3454.216474572239,-2152.4242955258524,-2312.401103980367,795.0665653270125,607
56,0.8644225120544433,0.09503457879207894,0.039919471740722655,0.007891960458806701,50,57,"{'max_samples': 50, 'n_estimators': 57}",-1381.0094891277843,-1572.3630123651549,-2975.215011785861,-3425.8452830692236,-2129.6867782484464,-2296.823914919294,790.7462569394664,566
57,0.8511962890625,0.0990628738952926,0.042453861236572264,0.004080177548716752,50,58,"{'max_samples': 50, 'n_estimators': 58}",-1359.8154820328377,-1566.8359631187768,-2929.9599943100143,-3420.1747324428497,-2143.902884717359,-2284.1378113243672,786.9213077159947,548
58,0.8312761783599854,0.04364040693692515,0.03703436851501465,0.0025979446322775936,50,59,"{'max_samples': 50, 'n_estimators': 59}",-1363.8584757809288,-1578.512275696415,-2909.812001444523,-3412.319090642598,-2102.767080574882,-2273.453784827869,779.9240018113114,538
59,0.803995943069458,0.025446471256317826,0.0334714412689209,0.0036766141671505173,50,60,"{'max_samples': 50, 'n_estimators': 60}",-1364.0044665130993,-1589.0573011609167,-2856.585668460141,-3452.8243776410463,-2103.9934666460285,-2273.293056084246,781.6867746878619,536
60,0.7958337306976319,0.019104753451255823,0.03877716064453125,0.0038602627296803003,50,61,"{'max_samples': 50, 'n_estimators': 61}",-1369.8987026099667,-1575.135073510975,-2874.3507123192603,-3449.821521246904,-2111.174611239753,-2276.0761241853716,784.2549489541318,539
61,0.7977987289428711,0.014894845692760304,0.03960371017456055,0.006381046011234685,50,62,"{'max_samples': 50, 'n_estimators': 62}",-1386.0831201331018,-1590.6214370759055,-2890.1402451227377,-3436.2825556507173,-2109.7756720211155,-2282.5806060007153,776.2130741684343,546
62,0.8520078182220459,0.05226463404902681,0.037276935577392575,0.0028365211296255202,50,63,"{'max_samples': 50, 'n_estimators': 63}",-1374.3095198470205,-1592.4643391710079,-2864.4330021526634,-3465.75443118653,-2085.0117901209646,-2276.3946164956374,784.666992280894,541
63,0.8487164974212646,0.014219901610689697,0.035808372497558597,0.00493220590955465,50,64,"{'max_samples': 50, 'n_estimators': 64}",-1365.4191603204652,-1618.5123137647556,-2855.406120667564,-3486.1620930837244,-2074.362015440839,-2279.9723406554695,787.6839780917145,544
64,0.8458652019500732,0.04011766339880291,0.03809928894042969,0.004475054999603023,50,65,"{'max_samples': 50, 'n_estimators': 65}",-1356.2214306905023,-1607.747084373668,-2899.4997368600257,-3502.4187693027698,-2096.7902095168643,-2292.535446148766,802.0172740627321,556
65,0.8780881404876709,0.02799213034607665,0.03503541946411133,0.002961541895872984,50,66,"{'max_samples': 50, 'n_estimators': 66}",-1351.9961883658882,-1599.2576396504141,-2915.0951118610587,-3512.9026850569253,-2098.1569928708054,-2295.4817235610185,809.9215428585464,562
66,0.9502185344696045,0.08830345361550279,0.04532122611999512,0.005532340373255206,50,67,"{'max_samples': 50, 'n_estimators': 67}",-1367.181599225132,-1634.1427337347918,-2920.509356049809,-3506.2464359025994,-2113.786145050526,-2308.373253992572,798.4864977942275,600
67,0.9850273132324219,0.06508404841884383,0.046037721633911136,0.0036939499250835737,50,68,"{'max_samples': 50, 'n_estimators': 68}",-1377.386507209561,-1601.9985715429916,-2914.856261308366,-3516.0494107073428,-2110.928357554828,-2304.243821664618,803.8537277918272,587
68,1.2181357383728026,0.07103312120300237,0.04497880935668945,0.005736964297627895,50,69,"{'max_samples': 50, 'n_estimators': 69}",-1409.3261056899069,-1588.4824732139693,-2913.984495273521,-3550.1053313482307,-2075.025336214604,-2307.3847483480467,811.1274133741626,596
69,0.966965627670288,0.04029643867134254,0.041001176834106444,0.007282086147312499,50,70,"{'max_samples': 50, 'n_estimators': 70}",-1404.5307231724573,-1582.2820249313243,-2928.909156954188,-3540.5337242522155,-2069.6353340361047,-2305.178192669258,812.9414218890164,592
70,0.9637795925140381,0.047274596104595744,0.06831207275390624,0.02500567953816943,50,71,"{'max_samples': 50, 'n_estimators': 71}",-1398.1176568311887,-1565.901193032219,-2979.1529150345423,-3536.937953468542,-2080.375298484485,-2312.0970033701956,823.5363166376007,605
71,1.1036534309387207,0.1120911020966041,0.04466347694396973,0.005010408843090434,50,72,"{'max_samples': 50, 'n_estimators': 72}",-1375.2362440025095,-1557.9513282732528,-2968.0776528464753,-3543.684969924542,-2072.4939663956156,-2303.488832288479,830.7349066747821,583
72,1.0626868724822998,0.12034241307025274,0.04424252510070801,0.006424741760290814,50,73,"{'max_samples': 50, 'n_estimators': 73}",-1351.05587409876,-1567.3496354704982,-2940.713534137503,-3557.1393431394454,-2040.2934154784932,-2291.3103604649395,836.0926542544559,554
73,0.9270131111145019,0.0030929783462239112,0.04319043159484863,0.003990998902423879,50,74,"{'max_samples': 50, 'n_estimators': 74}",-1370.100746230854,-1541.5940077477378,-2998.8671106786287,-3580.263194766764,-2048.2009871004516,-2307.8052093048873,852.1126092181679,598
74,1.0389710903167724,0.14161473344595113,0.05378732681274414,0.015626843470190624,50,75,"{'max_samples': 50, 'n_estimators': 75}",-1367.6308061991413,-1531.5866486676491,-3006.393140446019,-3582.0433491931026,-2029.8574611559186,-2303.502281132366,857.3579732598993,584
75,1.2575475692749023,0.19303527642973234,0.07416672706604004,0.025328616057217427,50,76,"{'max_samples': 50, 'n_estimators': 76}",-1352.1104941012914,-1540.5793064702023,-2964.815267098179,-3584.925412343736,-2031.4610500728984,-2294.7783060172615,853.2530453500208,560
