,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.11441202163696289,0.01365924758690789,0.0023159027099609376,0.0035116975279774598,0.2,2,60,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 60}",-729.0497310305933,-1133.9308097844655,-2301.1926579684964,-1825.1116282188038,-1095.369211602851,-1416.9308077210421,566.6042422404317,47
1,0.12197728157043457,0.019619584038808646,0.005297088623046875,0.0034775746782405885,0.2,2,62,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 62}",-732.8678406188075,-1131.7640442795926,-2333.3652149280033,-1830.8800199260645,-1085.5745766531024,-1422.890339281114,577.9424834212813,71
2,0.16275863647460936,0.050709128159612794,0.003696584701538086,0.002386158273152494,0.2,2,64,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 64}",-729.1926131576989,-1128.8876189852458,-2339.185163927331,-1807.9759159653725,-1100.0508071490676,-1421.0584238369431,576.1509916246126,63
3,0.18175888061523438,0.051591301740597284,0.00011348724365234375,0.0002269744873046875,0.2,2,66,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 66}",-731.7614489479124,-1126.2853018740873,-2324.245911920476,-1800.7855852172652,-1095.142910764967,-1415.6442317449414,570.6200527539179,46
4,0.15422024726867675,0.028798917810014736,0.001498270034790039,0.0022201935364750723,0.2,2,68,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 68}",-734.6031229121479,-1136.6978338446638,-2327.787632028538,-1800.8585424380192,-1107.4108415717376,-1421.4715945590212,568.6583798197715,65
5,0.1486882209777832,0.017750652192146898,0.00040950775146484373,0.0008190155029296875,0.2,2,70,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 70}",-736.7642382340921,-1140.9779751700958,-2321.698508769916,-1788.8758346435038,-1108.7199995307851,-1419.4073112696788,564.0367826463645,50
6,0.12648615837097169,0.02406359216572279,0.0017709732055664062,0.0025109099310564598,0.2,2,72,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 72}",-741.5895674167962,-1138.688190532115,-2326.6471158361173,-1783.4853087243089,-1116.0322015020554,-1421.2884768022786,563.1866001881647,64
7,0.1135178565979004,0.004897793473404331,0.0018202781677246094,0.0020590711879906205,0.2,2,74,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 74}",-747.8349619005678,-1131.9250154405136,-2320.7077032127286,-1778.6495494369487,-1119.1259925782815,-1419.6486445138082,559.5036107477504,56
8,0.13761482238769532,0.019049467739817992,0.0020946979522705076,0.0012982672316702091,0.2,2,76,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 76}",-749.0146366822919,-1129.255969618801,-2317.6353818283355,-1779.4302946467294,-1141.6800164764954,-1423.4032598505307,556.2547917545178,72
9,0.11757841110229492,0.005355908170563798,0.002992534637451172,0.002707954995498845,0.2,2,78,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 78}",-753.6096127640179,-1122.1149559633338,-2311.468492907939,-1774.8303222393156,-1147.285410685682,-1421.8617589120577,552.7726830412121,69
10,0.11844401359558106,0.002813664815134591,0.0014671802520751954,0.0008425083444548555,0.2,2,80,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 80}",-754.8352399613516,-1126.901334739507,-2307.264140415683,-1769.6882037889657,-1145.476573639726,-1420.8330985090465,550.1327333773996,62
11,0.11883926391601562,0.004114467697528496,3.8957595825195314e-05,7.791519165039063e-05,0.2,2,82,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 82}",-755.5108216662939,-1124.6563877084723,-2317.640254342913,-1768.753859533775,-1142.1038489743464,-1421.7330344451602,553.781952019648,68
12,0.11884055137634278,0.004265276778153636,0.001634693145751953,0.002022627090220864,0.2,2,84,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 84}",-760.2683950774017,-1140.1682245001243,-2321.6473683643244,-1768.2338459362231,-1139.3974949078467,-1425.9430657571843,552.5120029751437,74
13,0.11881718635559083,0.006705120056110905,0.0002805233001708984,0.0005610466003417968,0.2,2,86,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 86}",-760.0954289031558,-1141.2900352611318,-2318.7930940141046,-1762.456227141253,-1142.4600025052382,-1425.018957564977,550.4836203355585,73
14,0.12448000907897949,0.006119709293891851,0.0019294261932373048,0.0018874695087586074,0.2,2,88,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 88}",-770.096642195426,-1137.252535459012,-2321.6276903088187,-1758.3806409173353,-1150.6780975076374,-1427.6071212776458,548.0874745806003,75
15,0.08710112571716308,0.006664459940622157,0.0006208419799804688,0.0008253650528842203,0.25,2,60,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 60}",-795.2304048448775,-862.9815799655992,-2105.0591418853887,-1689.3440348832276,-1260.3469847007914,-1342.5924292559769,497.59184670722107,30
16,0.08639883995056152,0.005555538636841556,0.0,0.0,0.25,2,62,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 62}",-806.177518690685,-857.5478637066151,-2100.0952820203665,-1673.3179752171443,-1256.3933628037057,-1338.7064004877034,492.65686202519174,23
