,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.07494421005249023,0.013671409255442347,0.004740190505981445,0.002428020443714323,20,12,"{'max_samples': 20, 'n_estimators': 12}",-2117.700781955156,-1280.9878748378283,-3037.6112254978425,-3645.818982798983,-1429.7663976404062,-2302.377052546043,914.7891605557566,360
12,0.0676032543182373,0.006462105061181145,0.005350685119628907,0.002133047074622592,20,13,"{'max_samples': 20, 'n_estimators': 13}",-2082.696490464138,-1295.846734026573,-2944.9687007405582,-3716.0137793995855,-1612.4784433333502,-2330.4008295928406,888.2217160020164,364
13,0.07066059112548828,0.006885581338302434,0.0077206134796142575,0.0032334982915016306,20,14,"{'max_samples': 20, 'n_estimators': 14}",-2059.002625218869,-1302.6623769986493,-2783.7521722978736,-3700.9988910312013,-1674.166655007204,-2304.1165441107596,853.3649596517005,361
14,0.07091469764709472,0.003488881231131373,0.008315515518188477,0.004160959213312928,20,15,"{'max_samples': 20, 'n_estimators': 15}",-2013.2907281590258,-1237.461697240384,-2737.869497026223,-3678.511802023141,-1615.0426984055746,-2256.4352845708695,867.5126995023605,354
15,0.08037099838256836,0.0067131171627128556,0.004853296279907227,0.0043057038527662215,20,16,"{'max_samples': 20, 'n_estimators': 16}",-1877.553078566531,-1266.3255596857211,-2722.9415109173046,-3582.584907680306,-1602.3209077829836,-2210.3451929265693,838.7388163920702,336
16,0.07864527702331543,0.002838096364431901,0.009984970092773438,0.0017932281436078324,20,17,"{'max_samples': 20, 'n_estimators': 17}",-1936.6307082708706,-1186.738082056425,-2747.5675676160504,-3512.060333535172,-1535.811057489336,-2183.761549793571,843.4718932068669,325
17,0.08358311653137207,0.00237526434181006,0.007311248779296875,0.002895546246090063,20,18,"{'max_samples': 20, 'n_estimators': 18}",-1858.3963829261854,-1197.8831318932835,-2718.7724891047096,-3550.7043696475366,-1452.0385043756123,-2155.5589755894657,867.6439147325538,320
18,0.0908806324005127,0.0038160744654630366,0.007242870330810547,0.003046780645502746,20,19,"{'max_samples': 20, 'n_estimators': 19}",-1916.800197345415,-1276.2326529289153,-2727.168168511171,-3512.860936666365,-1416.755535216564,-2169.9634981336862,841.9048985540254,323
19,0.09811444282531738,0.003385826577212677,0.008299589157104492,0.0019310885096337877,20,20,"{'max_samples': 20, 'n_estimators': 20}",-1904.4693875197086,-1172.0821335698915,-2694.1417210492928,-3520.533808500496,-1394.1745421053174,-2137.0803185489412,867.3522121877877,315
20,0.09922027587890625,0.004690001392290384,0.009154748916625977,0.0032797719756151263,20,21,"{'max_samples': 20, 'n_estimators': 21}",-1936.5620498249034,-1206.501157510356,-2674.465606830006,-3540.5596420085485,-1401.730673275786,-2151.96382588992,860.7384988880691,319
21,0.10069866180419922,0.0027773441143855004,0.011942243576049805,0.002896133367446542,20,22,"{'max_samples': 20, 'n_estimators': 22}",-1900.0695031903902,-1184.2226134035675,-2711.067562841834,-3567.5033175317394,-1284.4485371939375,-2129.4623068322935,901.8175014431419,313
22,0.10948896408081055,0.004454134046845971,0.009098625183105469,0.0020941946912466625,20,23,"{'max_samples': 20, 'n_estimators': 23}",-1940.4450308104183,-1155.2971486660533,-2836.0041577472302,-3629.954895987698,-1348.623609549827,-2182.0649685522453,930.7285914054688,324
23,0.11394462585449219,0.004167373491705072,0.009334802627563477,0.002892928883968655,20,24,"{'max_samples': 20, 'n_estimators': 24}",-1933.542468422979,-1090.4423249479228,-2799.019903060467,-3539.996980971794,-1337.8800399925215,-2140.176343479137,914.5371594115626,317
24,0.12054963111877441,0.005253104867219572,0.010953235626220702,0.002797967763691361,20,25,"{'max_samples': 20, 'n_estimators': 25}",-1911.8679217732606,-1100.1471502930585,-2839.1477259027415,-3603.9620252796076,-1345.7579538740015,-2160.176555424534,937.4556532600207,322
25,0.11970925331115723,0.0028289250212479656,0.011321067810058594,0.00332959259871221,20,26,"{'max_samples': 20, 'n_estimators': 26}",-1864.2289398605965,-1162.6122775498645,-2933.193831751182,-3667.3045648079337,-1368.923334748935,-2199.252589743702,956.0498943837579,328
26,0.1271055221557617,0.003049973209689179,0.01153564453125,0.0023766620512617586,20,27,"{'max_samples': 20, 'n_estimators': 27}",-1822.0484325668451,-1198.2937636312543,-2916.8590416176926,-3678.6941862754493,-1389.109822543775,-2201.0010493270033,949.1284447086473,330
27,0.1301600456237793,0.0060956889489570615,0.010189628601074219,0.0006897100897352099,20,28,"{'max_samples': 20, 'n_estimators': 28}",-1866.0704181093774,-1216.696451535714,-2982.0195911858336,-3683.102168345153,-1457.9344741869695,-2241.1646206726095,941.4595191995486,351
28,0.1371633529663086,0.003875608295561227,0.010641336441040039,0.002141074336447674,20,29,"{'max_samples': 20, 'n_estimators': 29}",-1826.6807563526509,-1197.43463557513,-2902.651667879889,-3733.1126359281966,-1449.395346706049,-2221.855008488383,953.9053859796883,342
29,0.14331479072570802,0.0010613683010900095,0.010136604309082031,0.001758300428494664,20,30,"{'max_samples': 20, 'n_estimators': 30}",-1847.5779555137349,-1235.716973936187,-3000.6424120341644,-3744.794516013895,-1495.7975691994814,-2264.9058853394927,954.5992472483932,356
30,0.1474090576171875,0.003463818455725282,0.00983433723449707,0.002880129602380224,20,31,"{'max_samples': 20, 'n_estimators': 31}",-1833.2860053460342,-1250.9828583267488,-2955.8023862588484,-3723.1130616979026,-1523.6598920117442,-2257.368840728256,934.580478834767,355
31,0.15617656707763672,0.006977428546717004,0.011826753616333008,0.004344281239984942,20,32,"{'max_samples': 20, 'n_estimators': 32}",-1767.0519159362204,-1216.862205870317,-2915.799735736679,-3648.0934384246343,-1480.4759276580714,-2205.6566447251844,925.300247094059,331
32,0.15588417053222656,0.005008001770375595,0.012614297866821288,0.0016825716761545157,20,33,"{'max_samples': 20, 'n_estimators': 33}",-1812.0521687287928,-1246.1538227286994,-2796.4817506446557,-3615.8841207607716,-1533.276382309004,-2200.7696490343847,879.2453346531344,329
33,0.15996112823486328,0.004854713371814639,0.010910797119140624,0.0033198916524843974,20,34,"{'max_samples': 20, 'n_estimators': 34}",-1829.3895319425737,-1238.8247155026481,-2901.967361052896,-3626.1943735579925,-1514.674718560511,-2222.210140123324,900.5779148383529,343
