,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,0.20357017517089843,0.007749047055992289,0.005293130874633789,0.0016234662761319062,0.01,2,32,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 32}",-2498.906129531956,-3097.0701410931138,-5409.814790406863,-5264.996933904076,-2326.0646498588053,-3719.3705289589625,1346.4512750536103,1100
28,0.2170440673828125,0.002188837981886629,0.004624128341674805,0.0029027729601086797,0.01,2,33,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 33}",-2459.971730087964,-3071.19645035417,-5371.67333623912,-5223.620645965196,-2306.006493339878,-3686.4937311972653,1340.9907852224928,1097
29,0.21243972778320314,0.005113456884807686,0.005376052856445312,0.0028374828586858166,0.01,2,34,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 34}",-2426.1595048393087,-3029.952123696638,-5331.845877319183,-5188.759386657914,-2287.261520795031,-3652.795682661615,1336.8356679177136,1093
30,0.22779183387756347,0.006774455749619816,0.00805354118347168,0.004444551316724073,0.01,2,35,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 35}",-2396.625314712227,-2989.924431612587,-5297.601092386163,-5145.017141185416,-2271.245955625528,-3620.082787104384,1330.6239879480781,1089
31,0.2280275821685791,0.007078837905772357,0.008616065979003907,0.0024120706270696194,0.01,2,36,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 36}",-2368.8241611526214,-2962.8704875137937,-5261.215675524981,-5101.927808608822,-2253.624890083412,-3589.692604576726,1322.8263188586564,1083
32,0.2409450054168701,0.004678528091332015,0.004707431793212891,0.0034752627574589235,0.01,2,37,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 37}",-2337.4228308969314,-2924.739794073578,-5228.170893951227,-5072.3430685078365,-2235.5208878502654,-3559.6394950559675,1320.792975498989,1078
33,0.23643069267272948,0.007308191391428694,0.0032938003540039064,0.0024677464988559724,0.01,2,38,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 38}",-2304.3982289799937,-2902.4205050148976,-5190.615505078256,-5030.82364086983,-2218.955758637565,-3529.4427277161085,1313.385444597345,1075
34,0.25261821746826174,0.00761632844230102,0.004932403564453125,0.002758296729698057,0.01,2,39,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 39}",-2286.0508454620754,-2866.1724878879154,-5155.896977602955,-4993.248082905199,-2201.806679766468,-3500.6350147249227,1306.3306153442663,1071
35,0.2522432804107666,0.010304528147396656,0.005059623718261718,0.006363101185790445,0.01,2,40,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 40}",-2259.1449937351986,-2845.482005907557,-5124.48674271413,-4957.913297838586,-2186.251805488193,-3474.655769136733,1300.4080883187817,1067
36,0.2548246383666992,0.004195841931085197,0.004114818572998047,0.0024175433500303405,0.01,2,41,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 41}",-2241.4909254550043,-2821.517564966189,-5092.60384585736,-4930.599326734437,-2172.769882180988,-3451.7963090387957,1294.380682441502,1064
37,0.2534048557281494,0.008490000133571624,0.004539918899536133,0.003750859506706405,0.01,2,42,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 42}",-2213.525746542637,-2801.698425142846,-5062.409040640502,-4910.844437088937,-2157.7295651855497,-3429.2414429200944,1292.35453211365,1060
38,0.2630277156829834,0.005727674361301883,0.0035873889923095704,0.0026759668048986383,0.01,2,43,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 43}",-2196.5799119824774,-2768.584199809976,-5032.85063175177,-4884.280427715416,-2142.7637079491724,-3405.0117758417628,1288.1547189098985,1056
39,0.27092924118041994,0.0035839218056402276,0.005124521255493164,0.003919675884328807,0.01,2,44,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 44}",-2180.06279724987,-2736.4921655072635,-5000.517347133303,-4865.39956959108,-2128.886751106333,-3382.27172611757,1284.6554818439192,1050
40,0.27364015579223633,0.007483540932219637,0.007514858245849609,0.0029847678712293674,0.01,2,45,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 45}",-2152.990982438073,-2714.8071372158597,-4966.598046853437,-4839.818235636585,-2114.8411054715293,-3357.811101523097,1280.2000319934311,1046
